Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Normalised Votes
Barsaat,1995,166,"Action, Romance",5.4,1193,Rajkumar Santoshi,Bobby Deol,Twinkle Khanna,Raj Babbar,5.373873873873874
Barsaat Ki Ek Raat,1981,142,"Romance, Thriller",6.3,312,Shakti Samanta,Amitabh Bachchan,Rakhee Gulzar,Amjad Khan,5.571428571428571
Barsaat Ki Raat,1960,142,"Drama, Musical, Romance",6.9,117,P.L. Santoshi,Madhubala,Bharat Bhushan,Shyama,1.7593984962406015
Barsaat Ki Raat,1998,151,Musical,3.7,12,Bharat Kapoor,Dharmendra,Dinesh Hingoo,Shafi Inamdar,0.04428044280442804
Bas Ek Pal,2006,150,"Drama, Romance, Thriller",5.9,503,Onir,Juhi Chawla,Urmila Matondkar,Jimmy Sheirgill,0.9535545023696682
Bas Itna Sa Khwaab Hai...,2001,169,"Drama, Romance, Thriller",3.7,586,Goldie Behl,Rani Mukerji,Abhishek Bachchan,Sushmita Sen,1.8485804416403786
Basant,1942,146,"Drama, Musical",6.8,21,Amiya Chakrabarty,Mumtaz Shanti,Ulhas,Mumtaz Ali,1.6153846153846154
Basant,1960,165,"Comedy, Drama, Romance",6.5,33,Bibhuti Mitra,Nutan,Shammi Kapoor,Minoo Mumtaz,0.49624060150375937
Basant Bahar,1956,150,"Drama, Musical, Romance",7.1,32,Raja Nawathe,Bharat Bhushan,Nimmi,Kumkum,2.0
Baseraa,1981,139,"Drama, Family",6.8,133,Ramesh Talwar,Shashi Kapoor,Rakhee Gulzar,Rekha,2.375
Batla House,2019,146,"Action, Crime, Drama",7.2,10092,Nikkhil Advani,John Abraham,Nora Fatehi,Mrunal Thakur,32.76623376623377
Baton Baton Mein,1979,112,"Comedy, Romance",7.5,1118,Basu Chatterjee,Amol Palekar,Tina Ambani,Asrani,21.92156862745098
Battalion 609,2019,131,War,2.8,101,Brijesh Batuknath Tripathi,Vicky Ahuja,Kumar Gautam,Karim Hajee,0.32792207792207795
Batti Gul Meter Chalu,2018,161,Drama,6.0,4685,Shree Narayan Singh,Shahid Kapoor,Shraddha Kapoor,Divyendu Sharma,18.123791102514506
Batwara,1989,201,"Action, Drama",6.3,206,J.P. Dutta,Dharmendra,Vinod Khanna,Dimple Kapadia,3.377049180327869
Bawandar,2000,125,Drama,7.0,288,Jag Mundhra,Nandita Das,Raghuvir Yadav,Deepti Naval,1.0
Bawarchi,1972,130,"Comedy, Musical, Drama",8.0,3793,Hrishikesh Mukherjee,Rajesh Khanna,Jaya Bachchan,Usha Kiran,114.93939393939394
Bawre Nain,1950,138,"Drama, Romance",6.9,36,Kidar Nath Sharma,Raj Kapoor,Geeta Bali,Vijayalaxmi,1.2
Bazaar,1949,148,"Drama, Family",6.8,6,K. Amarnath,Nigar Sultana,Shyam,Gope,0.23076923076923078
Bazaar,1982,120,"Drama, Family",7.3,481,Sagar Sarhadi,Farooq Shaikh,Smita Patil,Naseeruddin Shah,6.871428571428571
Bazaar E Husn,2014,125,Drama,4.8,15,Ajay Mehra,Ahmed Faisal Inam,Om Puri,Jeet Goswami,0.0398936170212766
Be-Careful,2011,93,"Comedy, Crime, Drama",3.1,88,Chandrakant Singh,Asrani,Ali Khan,Bobby Khan,0.24649859943977592
Bechain,1993,135,"Action, Drama, Romance",4.8,8,Kawal Sharma,Sidhant Salaria,Malvika Tiwari,Raza Murad,0.045454545454545456
Bedardi,1993,146,"Action, Crime",3.9,148,Krishnakant Pandya,Ajay Devgn,Urmila Matondkar,Reena Roy,0.8409090909090909
Beehad - The Ravine,2013,125,Drama,5.6,10,Krishna Mishra,Pawan Rajput,Satyajeet Rajput,Vikas Shrivastav,0.017605633802816902
Bees Saal Baad,1962,158,"Thriller, Musical, Mystery",7.1,341,Biren Nag,Biswajit Chatterjee,Waheeda Rehman,Manmohan Krishna,7.104166666666667
Bees Saal Baad,1989,141,"Horror, Mystery",5.1,156,Rajkumar Kohli,Mithun Chakraborty,Dimple Kapadia,Meenakshi Sheshadri,2.557377049180328
Befikre,2016,130,"Comedy, Drama, Romance",3.9,7185,Aditya Chopra,Ranveer Singh,Vaani Kapoor,Armaan Ralhan,17.8287841191067
Begum Jaan,2017,128,"Action, Drama, History",5.6,2626,Srijit Mukherji,Amitabh Bachchan,Pallavi Sharda,Naseeruddin Shah,19.16788321167883
Behen Hogi Teri,2017,128,Comedy,5.6,1873,Ajay Pannalal,Arvind Singh Rajpoot,Rajkummar Rao,Shruti Haasan,13.671532846715328
Behind the Mirror,2005,88,Drama,5.9,14,Rajkumar Bhan,Sulabha Deshpande,Omkar Lele,Nandu Madhav,0.029045643153526972
Beiimaan Love,2016,120,"Drama, Romance, Thriller",2.8,439,Rajeev Chaudhari,Sunny Leone,Rajniesh Duggall,Daniel Weber,1.0893300248138957
Be-Imaan,1972,133,"Drama, Family",6.9,75,Sohanlal Kanwar,Manoj Kumar,Rakhee Gulzar,Nazima,2.272727272727273
Bekaraar,1983,121,"Drama, Romance",3.7,27,Rajendra Prasad V.B.,Sanjay Dutt,Padmini Kolhapure,Ashok Kumar,0.43548387096774194
Bekhudi,1992,140,"Action, Crime, Drama",4.6,192,Rahul Rawail,Kamal Sadanah,Kajol,Ajay Mankotia,1.737556561085973
Bemisal,1982,142,"Drama, Family",7.0,386,Hrishikesh Mukherjee,Amitabh Bachchan,Rakhee Gulzar,Vinod Mehra,5.514285714285714
Benaam,1974,117,"Drama, Mystery, Thriller",6.8,251,Narendra Bedi,Amitabh Bachchan,Moushumi Chatterjee,Satyendra Kapoor,4.2905982905982905
Benaam,1999,126,"Drama, Action, Horror",4.4,32,T.L.V. Prasad,Mithun Chakraborty,Aditya Pancholi,Payal Malhotra,0.07872078720787208
Benazir,1964,158,"Drama, Romance",7.3,39,S. Khalil,Meena Kumari,Ashok Kumar,Shashi Kapoor,0.9629629629629629
Bengal Tiger,2001,121,"Action, Crime",5.3,29,Adarsh Jain,Sandeep Bedi,Mithun Chakraborty,Roshini Jaffery,0.0914826498422713
Benny and Babloo,2010,123,"Comedy, Drama",6.1,349,Yunus Sajawal,Kay Kay Menon,Rajpal Yadav,Aasif Sheikh,0.612280701754386
Bepanaah,1985,156,"Drama, Family",6.2,42,Jagdish Sidana,Shashi Kapoor,Mithun Chakraborty,Poonam Dhillon,0.7777777777777778
Be-Reham,1980,147,"Action, Crime, Thriller",6.8,32,Raghunath Jhalani,Sanjeev Kumar,Mala Sinha,Shatrughan Sinha,0.7272727272727273
Be-Shaque,1981,121,"Adventure, Crime, Drama",6.3,30,Kashinath,Mithun Chakraborty,Amrish Puri,Sonia Sahni,0.5357142857142857
Besharam,1978,139,"Action, Drama",5.4,114,Deven Verma,Sharmila Tagore,Amitabh Bachchan,Bindu,2.28
Besharam,2013,143,"Action, Comedy, Romance",3.6,5355,Abhinav Kashyap,Ranbir Kapoor,Pallavi Sharda,Rishi Kapoor,9.42781690140845
Beta,1992,171,"Drama, Romance",6.3,1956,Indra Kumar,Anil Kapoor,Madhuri Dixit,Aruna Irani,17.70135746606335
Betaab,1983,162,"Family, Romance",6.6,532,Rahul Rawail,Shammi Kapoor,Nirupa Roy,Prem Chopra,8.580645161290322
Betaabi,1997,188,"Drama, Romance",4.4,104,Rajesh Ram Singh,Chandrachur Singh,Arshad Warsi,Anjala Zaveri,0.48372093023255813
Betaaj Badshah,1994,166,"Action, Drama",4.8,44,Iqbal Durrani,Raaj Kumar,Shatrughan Sinha,Jay Mehta,0.1837160751565762
Beti,1969,135,Drama,5.8,10,Harmesh Malhotra,Nanda,Sanjay Khan,Kishore Sahu,0.23809523809523808
Beti Bete,1964,145,"Comedy, Drama, Family",6.8,31,L.V. Prasad,Sunil Dutt,Saroja Devi B.,Jamuna,0.7654320987654321
Bewafa,1952,112,"Drama, Romance",7.6,80,M.L. Anand,Nargis,Ashok Kumar,Raj Kapoor,1.1267605633802817
Bewafa Sanam,1995,144,"Drama, Romance",5.1,104,Gulshan Kumar,Krishan Kumar,Shilpa Shirodkar,Sagar,0.46846846846846846
Bewafaa,2005,151,"Drama, Romance",4.4,2393,Dharmesh Darshan,Anil Kapoor,Akshay Kumar,Kareena Kapoor,4.964730290456432
Bewafai,1985,145,"Drama, Romance",5.6,58,R. Thyagaraajan,Rajesh Khanna,Rajinikanth,Padmini Kolhapure,1.0740740740740742
Bewaffa Se Waffa,1992,172,Romance,4.9,75,Saawan Kumar Tak,Vivek Mushran,Juhi Chawla,Nagma,0.6787330316742082
Bewajah,2017,127,Thriller,6.3,30,Jagat Joon,Anshu,Vishvendra Singh,Dhirendra Gupta,0.21897810218978103
Bewakoofiyaan,2014,119,"Comedy, Drama, Romance",5.5,3938,Nupur Asthana,Ayushmann Khurrana,Sonam Kapoor,Rishi Kapoor,10.47340425531915
Bewaqoof,1960,160,Musical,5.2,35,I.S. Johar,Kishore Kumar,Mala Sinha,I.S. Johar,0.5263157894736842
Beyond Blue: An Unnerving Tale of a Demented Mind,2015,99,"Crime, Fantasy, Mystery",6.7,7,Zanane Rajsingh,Tushar Pandey,Isheta Sarckar,Dipti Joshi,0.034653465346534656
Beyond Bollywood,2013,64,"Documentary, Biography, Drama",6.1,58,Adam Dow,Ruchika Muchhala,Pooja Kasekar,Harry Key,0.10211267605633803
Beyond the Clouds,2017,120,"Drama, Family",7.0,2148,Majid Majidi,Ishaan Khattar,Malavika Mohanan,Goutam Ghose,15.678832116788321
Bezubaan,1982,137,"Drama, Romance",7.3,70,Bapu,Shubham Kumar Singh,Shashi Kapoor,Reena Roy,1.0
Bezubaan Ishq,2015,128,"Musical, Romance",4.0,68,Jaswant Gangani,Mugdha Godse,Sneha Ullal,Nishant Malkani,0.33663366336633666
Bhaag Johnny,2015,118,"Action, Fantasy, Thriller",5.2,963,Shivam Nair,Kunal Khemu,Zoa Morani,Mandana Karimi,4.767326732673268
Bhaag Milkha Bhaag,2013,186,"Biography, Drama, Sport",8.2,62636,Rakeysh Omprakash Mehra,Farhan Akhtar,Sonam Kapoor,Pawan Malhotra,110.27464788732394
Bhaagte Raho,2018,115,Comedy,3.6,18,Praful D.S. Tiwari,Riya Deepsi,Mukesh Fotwani,Dinesh Hingoo,0.06963249516441006
Bhabhi,1991,145,"Comedy, Drama, Family",4.1,131,Kishore Vyas,Bhanupriya,Govinda,Juhi Chawla,1.8581560283687943
Bhabhi,1957,165,Drama,6.7,47,R. Krishnan,S. Panju,Balraj Sahni,Pandharibai,1.6206896551724137
Bhabhi Ki Chudiyan,1961,168,"Drama, Family",5.4,30,Sadashiv J. Row Kavi,Balraj Sahni,Meena Kumari,Sailesh Kumar,0.7142857142857143
Bhabhipedia,2018,107,"Comedy, Romance",8.3,84,Saumyy Shivhare,Jay Solanki,Hrishitaa Bhatt,Rajkumar Kanojia,0.32495164410058025
Bhadaas,2013,89,Thriller,2.5,26,Ajay Yadav,Meera,Aryeman Ramsay,Ashutosh Kaushik,0.045774647887323945
Bhagam Bhag,1956,101,"Action, Comedy, Crime",6.0,21,Master Bhagwan,Kishore Kumar,Shashikala,Smriti Biswas,1.3125
Bhagam Bhag,2006,157,"Comedy, Drama, Thriller",6.5,11651,Priyadarshan,Akshay Kumar,Govinda,Paresh Rawal,22.087203791469193
Bhagawat Ek Jung,2001,113,Action,4.6,18,Deepak Pawar,Mithun Chakraborty,Manvi Goswami,Mohan Joshi,0.056782334384858045
Bhageeratha,2005,158,"Action, Drama",5.6,227,Rasool Ellore,Ravi Teja,Shriya Saran,Brahmanandam,0.470954356846473
Bhagmati,2005,160,"Animation, Drama, History",6.1,57,Ashok Kaul,Tabu,Milind Soman,J.V. Somayajulu,0.11825726141078838
Bhagwaan Dada,1986,147,"Drama, Thriller",4.3,169,J. Om Prakash,Rajinikanth,Rakesh Roshan,Sridevi,3.0727272727272728
Bhagwan Parshuram,1970,136,Drama,8.7,10,Babubhai Mistry,Niranjan Sharma,Shalini,Trilok Kapoor,0.19230769230769232
